productId,sku,productCode,productName,category,sourceArchive,sourcePath,sourceChecksum,targetFilename,mappingMethod,confidence,status,notes
"cmrnl00rm00qqtaecuad2rm4p","CLN-000003","PC100","Cherry shoe polish","Cleaning","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cherry_blossom_shoe_polish_black/screen.png","20f130be511903bd5f84499fa8a2253abca62a25601f0867ae1d6aee12ab781f","cln-000003-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; strong token overlap; confidence below threshold"
"cmrnl00vm00s2taecpdjwf0oe","SKN-000006","PC100","Cinthol 9X100g","Skin Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cinthol_soap_pack_of_3/screen.png","03b624bafa8d24dfc170235e7096cc22e538bbab4e01f1a52655845d1ea80b75","skn-000006-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; token overlap; confidence below threshold"
"cmrnl00xp00sqtaecr4oufihp","HAI-000053","PC85","Clinic Plus Strong & long 175ml","Hair Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_clinic_plus_strong_long_shampoo/screen.png","ddc0222594f7057dc628966e1b8c33837c408bbe92561ecaa53724cf1219f21e","hai-000053-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong token overlap; confidence below threshold"
"cmrnl06tk02pmtaecib2wawv4","FOO-000709","PC100","Limca/sprite/coca 750ml","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_coca_cola_750ml_pet_bottle/screen.png","880d3f266b920a341a7698719abcbc3355d390d2825a803cc20bb123743de014","foo-000709-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; strong token overlap; confidence below threshold"
"cmrnl014i00uytaec7h093vfu","FOO-000559","PC100","Cocoa Powder 50gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_weikfield_cocoa_powder_50gm_box/screen.png","076d6539883b56be9a7e7409bf684de8fbc585306235e433d0d377286c69917f","foo-000559-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnl017y00w2taec78kpgkw3","FOO-000564","PC100","Cofsils cough drop","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cofsils_cough_drops_strip/screen.png","98762d3cb98dca93b4ecf81793e9aa0f411ca63797261735cfb3dbd589982631","foo-000564-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","token overlap; confidence below threshold"
"cmrnl01bd00x6taecora9x22h","ORA-000006","PC100","Colgate strong teeth","Oral Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_colgate_strong_teeth_toothpaste/screen.png","d0166c8278442b2f54e39d86f873386426d85ebd828392e02ec0d7773a38a153","ora-000006-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnkzyeg004itaecltjsh8r8","FOO-000484","PC100","Alsi","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_corn_flour_500g_pouch_professional/screen.png","f09d35503aed9bf5de4f56b2647ed6c25a28e579d7450b762ce485935a8fc1e3","foo-000484-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnkzxxf001utaec7ylor77b","HOM-000043","PC100","Agarbatti","Home Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cycle_agarbatti_incense_sticks/screen.png","022b5483f6a254176774f1d1742136c3c2d1499918047b09d45fd040f3d07b1d","hom-000043-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","token overlap; confidence below threshold"
"cmrnl05h6029mtaecumibbt96","FOO-000666","PC100","Horlicks choco jar 500g","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dabur_honey_500g_glass_jar_golden/screen.png","e50941765a4a8c5cfd2305b9e3b907e1a2afe6c65e04176465af668a6d58340f","foo-000666-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnl0ccl04iitaecocvu2n0x","FOO-000883","PC100","Ujala crisp &shine 200g","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dabur_red_toothpaste_200g_tube_and/screen.png","5e240155791b16891ae6d0d71403a0552695a9d6f5855307c4b3465664a55dcd","foo-000883-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnl029w018ataecd4vwi3j5","FOO-000592","PC100","Dettol bodywash 250ml","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dabur_gulabari_rose_water_250ml/screen.png","b4d7b0691582c544580faba1a3716ff3a92d6b5271da1dbe7fc915706ca8dc78","foo-000592-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnkzz8q00bmtaec7ath3caa","FOO-000508","PC100","Badshah Chhole masala 100g","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dal_makhani_masala_100g_box/screen.png","20db58480b7e5634c26bc8d30120f335be60e45a8f0e1a4d0496617bfe83b09e","foo-000508-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnkzyeg004itaecltjsh8r8","FOO-000484","PC100","Alsi","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dalia_500g_transparent_retail/screen.png","2994ed80c65433ec7fe53647b85ac0939e2cbb48a86bacedd2623b8d8e1c6d3a","foo-000484-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnl0dcp04tutaeceejrq238","FOO-000904","PC100","Zahidi dates 500g","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_date_crown_dates_500g_pack/screen.png","349d452045fd8217fa024df2ef3feeddc3c8c9a7d927ddd56e35d5830c1f631a","foo-000904-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnkzzas00cataecykwuz0m3","FOO-000511","PC100","Bajra aata1.5kg","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dawaat_rozana_basmati_rice_5kg_bag/screen.png","86aca66fcb1be65fd4b4af783c45dc02a343dfa1e20714d232ae57a4cb50dcd5","foo-000511-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
"cmrnl01oe011etaec0dyj4t3g","PER-000046","PC100","DENVER DEO AUTOGRAPH","Personal Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_denver_deo_spray_can_for_men/screen.png","98cde3d28fe380c5c032e053aaabc70814cb85d4cf9281f11bbbca890ae5c306","per-000046-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; token overlap; confidence below threshold"
"cmrnl0ara03zutaecqzl29ink","SKN-000065","PC100","Simco oxyve Tulsi & aloe Handwash 750ml","Skin Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dettol_handwash_refill_750ml_pouch/screen.png","bffe12c3b3d8f06a91c07592fbaf8cd9920192f73667a5aa035b8e3f101d5efa","skn-000065-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; strong token overlap; confidence below threshold"
"cmrnl01p3011mtaecbmcjd694","SKN-000008","PC93","DETTOL ORIGINAL SOAP 4*60gm","Skin Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dettol_soap_pack_of_3_professional/screen.png","186811b46b5a1d809f1df2552dee53ae4140761355e182122faf74aa7f96ef18","skn-000008-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; token overlap; confidence below threshold"
"cmrnkzyx7008qtaecj886u8go","FOO-000498","PC100","B Natural 1ltr","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dhuna_natural_resin_incense_small/screen.png","61274c5e1d06ccdbb792652796f0e65d387a867f8e4804112fd28e82e8cd5d34","foo-000498-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","token overlap; confidence below threshold"
"cmrnl04fb01x6taecte083d2v","FOO-000641","PC100","Goldiee coriander powder 200gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_dhaniya_powder_coriander_200g/screen.png","331deb1d54720da8668a64517db73e8d91cddcd11b160cdd6259e89005a79bfe","foo-000641-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnl063c02gytaec4hyt71bl","FOO-000683","PC100","Kabuli channa 500gm","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_kabuli_channa_500gm_transparent/screen.png","3f7525fc4a5dc9a40c14e6242980cfc70c9204a844b62544ddda0528aa55bc0d","foo-000683-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnkzz7y00betaecdvhvam5o","FOO-000507","PC100","Badi elachi","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_kasuri_methi_50g_box_packaging/screen.png","3f177b71faf96a62a50eba96493b715794b9b744d1ef86fee6b00c32bca020bf","foo-000507-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","quantity match; token overlap; confidence below threshold"
